id,security,name,market,stocks_own,providers_name,csv_file,last_update,best_strategy
19,WALMEX,Wal-mart de Mexico S A B de C V,bmv,,"{""wtd"": ""WALMEX.MX""}",WALMEX.csv,2019-02-07,
18,SPORTS,Grupo Sports World SAB de CV,bmv,,"{""wtd"": ""SPORTS.MX""}",SPORTS.csv,2019-02-07,
17,SORIANAB,Organizacion Soriana SAB de CV,bmv,,"{""wtd"": ""SORIANAB.MX""}",SORIANAB.csv,2019-02-07,
16,RCENTROA,Grupo Radio Centro SAB de CV,bmv,,"{""wtd"": ""RCENTROA.MX""}",RCENTROA.csv,2019-02-07,
15,GNP,Grupo Nacional Provincial SAB,bmv,,"{""wtd"": ""GNP.MX""}",GNP.csv,2019-02-07,
14,LABB,Genomma Lab Internacional SAB de CV,bmv,,"{""wtd"": ""LABB.MX""}",LABB.csv,2019-02-07,
13,FINAMEXO,Casa de Bolsa Finamex SAB de CV,bmv,,"{""wtd"": ""FINAMEXO.MX""}",FINAMEXO.csv,2019-02-07,
12,ELEKTRA,Grupo Elektra SA de CV,bmv,,"{""wtd"": ""ELEKTRA.MX""}",ELEKTRA.csv,2019-02-07,
11,CHDRAUIB,Grupo Comercial Chedraui SAB de CV,bmv,,"{""wtd"": ""CHDRAUIB.MX""}",CHDRAUIB.csv,2019-02-07,
10,CEMEXCPO,Cemex SAB de CV,bmv,,"{""wtd"": ""CEMEXCPO.MX""}",CEMEXCPO.csv,2019-02-07,
9,CABLECPO,Empresas Cablevision SA de CV,bmv,,"{""wtd"": ""CABLECPO.MX""}",CABLECPO.csv,2019-02-07,
8,BOLSAA,Bolsa Mexicana de Valores SAB de CV,bmv,,"{""wtd"": ""BOLSAA.MX""}",BOLSAA.csv,2019-02-07,
7,BIMBOA,Grupo Bimbo S.A.B. de C.V.,bmv,,"{""wtd"": ""BIMBOA.MX""}",BIMBOA.csv,2019-02-07,
6,BACHOCOB,"Industrias Bachoco, S.A.B. de C.V.",bmv,,"{""wtd"": ""BACHOCOB.MX""}",BACHOCOB.csv,2019-02-07,
5,ARA,Consorcio Ara SAB de CV,bmv,,"{""wtd"": ""ARA.MX""}",ARA.csv,2019-02-07,
4,AMXA,America Movil SAB de CV Series A,bmv,,"{""wtd"": ""AMXA.MX""}",AMXA.csv,2019-02-07,
3,AGUA,Rotoplas SA de CV,bmv,,"{""wtd"": ""AGUA.MX""}",AGUA.csv,2019-02-07,
2,AEROMEX,Grupo Aeromexico SAB de CV,bmv,,"{""wtd"": ""AEROMEX.MX""}",AEROMEX.csv,2019-02-07,
1,AC,ARCA CONTINENTAL,bmv,,"{""wtd"": ""AC.MX""}",AC.csv,2019-02-07,
